team_nr,Organisatie,aantalteam,leeftijd_gem,geslacht,ervaring,tijd,gehaald,Introductie,centraal1,centraal2,centraal3,centraal5_,centraal6_,extern1_,extern2_,extern3,extern4,extern5,extern6,extern7,open1_,open2,open3,open4,extravert2_,extravert3_,extravert5,extravert6,extravert7,extravert8,lang1,lang2,lang3_,lang4_,lang5_,direct1,direct2,direct3_,direct4_,direct5_,taak1,taak2,taak3,taak4_,taak5_,taak6_,sturing1,sturing2,sturing3,sturing5,sturing8_,consensus1_,consensus2_,consensus3,consensus4,consensus5,VAR00003,centraal5R,centraal6R,extern1R,extern2R,open1R,taak4R,taak5R,taak6R,consensus2R,sturing8R,consensus1R,extravert2R,extravert3R,lang3R,lang4R,lang5R,direct3R,direct4R,direct5R,CentraalGEM,ExternGEM,OpenGEM,TaakGEM,SturingGEM,ConsensusGEM,ExtravertGEM,langGEM,DirectGEM,filter_$,SturingGEM1
 ,AGILE 2 2017,5,40,80,0,20,2, ,4.3,4.2,4.2,2.1,1.7,2.7,1.1,3.5,4.6,3.6,4.2,2.4,1.6,4.6,4.8,4.3,4.6,3.7,2.4,1.7,1.7,3.6,1.8,1.4,4.9,4.2,4.7,2.3,1.2,3.7,4.7,4.2,1.8,2.2,2.1,3.9,3.4,4,1.5,3.8,1.6,2.4,4.6,2.1,1.8,4.6,4.2,3.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,NHL 2016,4,19.5,100,100,20,2, ,3.5,4.5,4,3,4.5,2.5,1.5,3.5,4,1.5,3.5,1,1.5,4,4.5,2,4,1.5,4,4,2.5,5,2.5,2,3.5,3,4,5,5,1,1,1,1,4.5,4.5,1.5,3.5,1.5,4,4.5,5, ,1.5,4,1,4,1,4, ,3,1.5,3.5,4.5,4.5,4.5,2.5,4.5,5,4.5,2,2,4.5,2.5,3,2,5,5,5,3.3,3.071428571,3.75,3.583333333,4.5,3.2,3.666666667,2.4,5,0, 
2,NHL 2016,5,21.8,60,20,17.39,1, ,2,3.5,1.5,3.5,5,1.5,1,4.5,4.5,4,4.5,4,1,5,4,2.5,2,2,3.5,2,4,4.5,4,4.5,2.5,2,1.5,3.5,2.5,3.5,4,4,3,4,2,4,2,4,4.5,4,4, ,1,3.5,4,2.5,2,1.5, ,2.5,1,4.5,5,5,2,4,2,2,5,2.5,4,4,3.5,4,4.5,2.5,2,2,2.1,4.428571429,4.125,2.833333333,4.375,2.1,3.666666667,4.1,2.5,1, 
3,NHL 2016,5,23,0,60,15.14,1, ,1.5,2.5,2,4,4.5,2,2,4,2,4.5,4,4.5,1.5,4.5,5,1.5,1,4.5,4.5,3.5,3.5,5,4,2,2,2,3.5,2.5,4,3.5,3.5,3.5,2,2.5,2.5,4.5,4,4,4.5,4,3.5, ,1.5,4.5,2,4,3.5,3.5, ,2,1.5,4,4,4.5,1.5,2,2,4,4.5,1.5,5,1.5,4,4,2.5,2.5,2.5,2.5,1.9,3.857142857,3.875,2.083333333,4.125,3.3,3.833333333,3.3,2.8,1, 
5,NHL 2016,6,20.5,33.3,66.67,20,2, ,2,2,1.5,4.5,4.5,4,2,4,4.5,5,4.5,5,1,5,2,1.5,1.5,4,5,3.5,4.5,2.5,4.5,2.5,2,2,4,3.5,4,3,2.5,2.5,2.5,4.5,4,2,4,5,4.5,4,4, ,2,4,1.5,3.5,4,2, ,1.5,1.5,2,4,5,4,2,1,4.5,4,2,4.5,2,4,4,2,3,3.5,3.5,1.7,4.142857143,3.375,3,4.125,3.2,3.666666667,3.4,3.5,0, 
7,NHL 2016,5,22,0,40,20,2, ,3,4,3,3,2,2.5,1.5,3,4,2,4,2.5,1.5,4.5,4,4,2,1,3.5,3.5,4.5,3.5,2,1.5,4.5,3.5,4,2,3.5,2,2,3,4,4,4,4,1.5,3.5,1.5,4,2, ,2.5,2.5,3.5,3.5,2.5,2, ,3,4,3.5,4.5,4.5,2,4.5,2.5,2.5,3.5,3.5,4,5,1.5,2.5,2,4,4,3,3.4,3.357142857,4.25,3.5,2.75,2.8,4,1.9,3.3,0, 
9,NHL 2016,5,21.2,80,80,20,2, ,4,4,2,2,3.5,2.5,3.5,4,2,1,3.5,3.5,1.5,4.5,4,2,4,3.5,2,4,2,4,3,4,3,4,3,5,4.5,2,1.5,1.5,3.5,4,4.5,1.5,2,2,3,4.5,4.5, ,2,4.5,1.5,1.5,1,1.5, ,4,2.5,3.5,2.5,4.5,4.5,4,4,4.5,4,1.5,2,2.5,3,2,3,4,4.5,4.5,3.3,2.857142857,3.75,4.083333333,4,2,2.75,3,4.5,0, 
10,NHL 2016,5,20.8,60,0,20,2, ,3,3.5,1,4,4,3.5,1.5,4,3.5,4.5,2.5,4.5,1.5,4,4.5,4,4,2,3.5,2,1,4.5,3,2,2.5,3.5,3.5,3.5,2.5,3,4,3,3.5,1.5,2.5,4.5,4,3.5,4,2,2, ,2,1.5,1,4.5,4,2, ,2,2,2.5,4.5,4.5,1.5,2,2.5,5,4,4.5,2,4,3.5,2.5,2.5,3,2,3,2.3,3.714285714,4.25,2.25,3,4,2.833333333,2.7,2.8,0, 
11,NHL 2016,5,20.8,100,40,20,2, ,2.5,3,1.5,4.5,4.5,2.5,1.5,4.5,4.5,4,4,4,2,4,4,4,3,2,4,4.5,3,4.5,3.5,4,2,2.5,3.5,4.5,4.5,3.5,1.5,2.5,3.5,3.5,4.5,2,4.5,4,4.5,4.5,4.5, ,1.5,1.5,2.5,4,2,3.5, ,1.5,1.5,3.5,4.5,4,4,1.5,2,3.5,4.5,4.5,3,4,4,3.5,2.5,2.5,4.5,3.5,2,4.142857143,4,3.166666667,4.5,3.5,3.833333333,3.5,3.9,0, 
12,NHL 2016,4,24.2,40,20,20,2, ,3.5,4,2.5,3,2.5,2,2.5,1.5,3.5,3.5,4,4,4,1.5,2.5,3.5,2.5,4,3,1.5,1.5,3.5,2,2.5,2.5,4,3.5,4,4,4,3,2.5,5,4.5,2.5,3.5,3.5,2,3,3.5,4, ,2.5,3.5,3,4,4,3.5, ,3,3.5,4,3.5,2,2.5,2.5,4,3,3.5,2.5,3.5,2,3.5,2,2.5,2,3,3.5,3.3,3.428571429,2.375,3.5,3.5,3.4,2.5,2.5,3.3,0, 
